"","metrics","in_sample_values","LOOCV_values"
"1","Rsqrd",0.860490702913196,0.733297663367108
"2","RMSE",11.0463433486788,15.2931741450647
"3","HR-L",0,0
"4","HR-M",1,0.9
"5","HR-H",0.8,0.8
