"","year","prd_PCR","res_PCR","prd_PCR_LOOCV","res_PCR_LOOCV","obs","y90_PCR_BCbased","y70_PCR_BCbased","y30_PCR_BCbased","y10_PCR_BCbased","Ymod_PCR_BC_1","Ymod_PCR_BC_2","Ymod_PCR_BC_3"
"1",1986,24.8869333255548,-8.1490666744452,22.8319707840832,-10.2040292159168,33.036,14.2323943978757,19.8049812877976,31.2728457461348,43.5170287501671,0.219631948642358,0.851427415961638,0.999905800406013
"2",1987,66.1627721044438,15.4987721044438,67.9176997741129,17.2536997741129,50.664,37.8381603643667,52.6527094064962,83.1391792383111,115.688931434905,0.000529428250838354,0.0723664395137455,0.89123428588464
"3",1988,63.4817211128288,29.3757211128288,65.784050747554,31.678050747554,34.106,36.3048462076272,50.5190942364052,79.7702403880369,111.001084317182,0.000684347952274205,0.0830016820075331,0.904283041436958
"4",1989,14.989869945639,2.74986994563897,15.1549568654286,2.91495686542858,12.24,8.57234030287768,11.9288575916221,18.8363150751341,26.2114328776604,0.566223500905509,0.976303958492717,0.999998525130635
"5",1990,33.5713952369788,17.9243952369788,34.3671093725302,18.7201093725302,15.647,19.1990154006241,26.7161369616545,42.1855962108082,58.7021843229729,0.0434850572560823,0.541578106497435,0.997412388010461
"6",1991,51.793851577172,-45.783148422828,49.5588788957126,-48.0181211042874,97.577,29.6204799113569,41.2177463718068,65.0835515400148,90.5646602107875,0.00536433858094414,0.231047278562877,0.974773743167862
"7",1992,84.3088649111951,-31.9451350888049,78.4789968163289,-37.7750031836711,116.254,48.2160884928622,67.0936253736209,105.941055536839,147.417467463546,0.000155477288544382,0.0367280046375451,0.816344739971866
"8",1993,94.8108125070435,16.4928125070435,99.287759284139,20.969759284139,78.318,54.222279388907,75.4512368232521,119.137489466544,165.780102380071,1.69471573648218e-05,0.00991428814571619,0.64129918973783
"9",1994,27.6968371670385,9.07583716703851,28.1276745266589,9.50667452665885,18.621,15.8393672568169,22.0411203131479,34.8037275975449,48.4302781653003,0.105289272761137,0.71363507172806,0.999434125650847
"10",1995,36.1259685674152,-3.56403143258483,35.3685837247883,-4.32141627521172,39.69,20.6599751976292,28.7490877431524,45.3956251961211,63.1689474201605,0.0377430680399621,0.515360510168259,0.996833496615632
"11",1996,17.0144034118583,8.13040341185825,17.5688815682573,8.6848815682573,8.884,9.73014977601281,13.5399864689395,21.3803244596909,29.7514654521473,0.431599391819227,0.949881749746201,0.999992719203419
"12",1997,56.2304735505677,12.7764735505677,57.2328898618879,13.7788898618879,43.454,32.1578083020113,44.7484616684009,70.6585047036682,98.3221749578712,0.00197764878161897,0.143281169739918,0.948005633007998
"13",1998,70.353199608793,-14.619800391207,67.8944292584377,-17.0785707415623,84.973,40.2347016570143,55.9875076029489,88.4047587603384,123.015931310505,0.000530903324156323,0.0724747928933731,0.891380855508327
"14",1999,8.19780993105235,-1.97319006894765,8.0233807632068,-2.1476192367932,10.171,4.68806230060869,6.52373600149999,10.3014505506844,14.3349687731996,0.947994949371613,0.999710994185026,0.999999999569457
"15",2000,6.40736577977118,-2.59963422022882,6.05538031915278,-2.95161968084722,9.007,3.66414451125356,5.09890649395686,8.05157898298066,11.2042006352441,0.988435026974762,0.999978178237518,0.999999999993941
"16",2001,53.3140704264192,19.2350704264192,55.237229323432,21.158229323432,34.079,30.4899008516499,42.4275538814741,66.9938227073798,93.2227923535954,0.0025529160207139,0.162491877216264,0.956111417155061
"17",2002,14.9502867950767,6.12828679507665,15.6324116799021,6.81041167990213,8.822,8.54970314808812,11.8973572392278,18.7865752359742,26.1422189787428,0.538083885199146,0.972037488288076,0.999997919048716
"18",2003,26.0389611604905,6.23996116049051,26.4204348703469,6.62143487034687,19.799,14.8912340681729,20.7217719615844,32.7204665937169,45.5314052239536,0.133860627791627,0.760429962774666,0.999662078522136
"19",2004,28.8450662481119,-17.2869337518881,27.9360178350889,-18.1959821649111,46.132,16.4960360113789,22.9548888115342,36.2465735737136,50.4380075187097,0.108175248231113,0.718948631858543,0.999464597254708
"20",2005,39.7241123143205,-15.0458876856796,36.6081463188599,-18.1618536811402,54.77,22.7177566171998,31.6125228394204,49.916981637879,69.4604186442456,0.0316892974652587,0.483841539454441,0.995987251155663
"21",2006,5.70687287848418,-3.51612712151582,5.25247764758559,-3.97052235241441,9.223,3.26354888256665,4.54145753675425,7.17133829338841,9.97931453250264,0.995306060570216,0.999994916905426,0.999999999999399
"22",2007,38.2680002687845,5.25100026878454,38.592163580307,5.57516358030697,33.017,21.8850043823836,30.4537354955971,48.0872604532885,66.9143610761566,0.0239864047639146,0.435811466653877,0.994295446242222
"23",2008,21.6806413936427,-8.85635860635734,21.2650010651256,-9.2719989348744,30.537,12.3987338832855,17.2533970570733,27.2438641324733,37.9106604057719,0.270822823022137,0.886030610364616,0.999951343379704
"24",2009,16.655474327887,2.23747432788697,16.7948995612667,2.37689956126669,14.418,9.52488175251172,13.2543496542495,20.9292978238425,29.1238546105258,0.472516613515359,0.959687109467654,0.999995472203464
"25",2010,89.977941121506,-3.86405887849402,88.5626718392252,-5.27932816077481,93.842,51.4582997660846,71.6051622907022,113.064649314446,157.329842300056,5.15185320917392e-05,0.0193522573958165,0.733750204470956
"26",2011,11.8441998006919,2.55619980069192,12.0811643456407,2.79316434564073,9.288,6.77337184574292,9.42552946722288,14.8834894798086,20.7109951905899,0.753892351408777,0.993839268387771,0.999999897260325
