"","metrics","in_sample_values","LOOCV_values"
"1","Rsqrd",0.731931263111861,0.666013334226607
"2","RMSE",15.6667826061585,17.3383818812728
"3","HR-L",0.9,0.9
"4","HR-M",0.6,0.6
"5","HR-H",0.9,0.9
