"","year","obs","prd_PCR","prd_PCQR","prd_PCANN","prd_PCRF","prd_PCMCQRNN","prd_PCSVM","prd_ensemble"
"1",1986,33.036,25.7321327832902,21.2379116226201,19.9083834747686,26.6849884666667,23.9740622648552,17.2800111800868,22.4695816320479
"2",1987,50.664,68.8325240302437,50.664,55.3351486865911,44.4112070333335,50.9266612062245,51.2727407122021,53.5737136114325
"3",1988,34.106,63.0015462605613,54.6557763569196,36.6254677759132,39.1079676,53.3869449683837,58.3780734696778,50.8592960719093
"4",1989,12.24,13.8697774458468,13.5692156862745,19.9081815961385,16.2421195333333,12.240034737344,12.67140142701,14.7501217376578
"5",1990,15.647,34.0543491870314,35.2239474282467,19.9084444668011,27.5121181000001,32.4744894210214,23.4443407007212,28.7696148839703
"6",1991,97.577,55.6931168306879,55.5741469167377,86.2570283139564,90.2103815999999,55.3083602139115,59.7429867259705,67.131003433544
"7",1992,116.254,83.1185404831436,64.8673878942882,94.9974096486663,95.2612533666666,65.4897035028151,83.5449823898391,81.2132128809032
"8",1993,78.318,94.9033643012818,88.2596373969878,95.1806287388977,90.2416618333332,94.9649316413838,78.7873448403907,90.3895947920458
"9",1994,18.621,25.855517285692,28.0195927820404,19.9082224854041,20.5631086666667,27.5720951003129,20.5810713183132,23.7499346064049
"10",1995,39.69,44.0153420833558,40.7706825802785,36.2281341924361,39.1451742666667,41.2077499169847,30.4469306747547,38.6356689524127
"11",1996,8.884,13.8297874057795,16.6078283603296,19.9081816134536,11.8957556333333,14.8883911517117,13.7572651543974,15.1478682198342
"12",1997,43.454,51.3987855815835,42.4351767547599,20.4200897110709,39.3070432,43.5597847254414,43.468946200682,40.0983043622563
"13",1998,84.973,68.0549155052771,65.5387692526286,94.9417771189422,92.7173157666666,65.5833541692823,84.9858262400739,78.6369930088118
"14",1999,10.171,10.5837486709663,8.90090196078432,19.9081815781815,9.78520289999999,3.00751727754591,9.52286199954932,10.2847357311712
"15",2000,9.007,2.09484100252503,9.00700000000001,19.908181578001,9.97324349999999,0.833107857530813,9.59978206162353,8.56935933328007
"16",2001,34.079,59.4382673722409,40.8802179596476,25.9815839647088,38.8847055666667,44.6034727195157,39.2635911025112,41.5086397808818
"17",2002,8.822,10.3227650990005,18.6185350951975,19.9081815804813,9.6029786,12.8910065865045,12.9332514088918,14.0461197283459
"18",2003,19.799,26.76034778739,30.6668877522023,19.9082052172729,22.2807319666667,28.2011778145141,19.785480877408,24.6004719025757
"19",2004,46.132,30.6323441265241,34.9752395566923,19.9082471926694,33.5739314666666,30.9262237352542,21.1397436408017,28.5259549531014
"20",2005,54.77,43.3684123018296,39.3269778346121,58.457970380036,43.5795578,43.9905408507665,39.836048287173,44.7599179090695
"21",2006,9.223,5.10703404616548,8.47650980392158,19.9081815780027,10.0361094,0.727629379882494,9.20938515935556,8.91080822788797
"22",2007,33.017,38.2580606228842,46.1035029838022,19.9661673893455,37.9880508,41.3683336542028,34.2460994131095,36.321702477224
"23",2008,30.537,28.2966650417972,18.1297127024723,19.9082745976115,27.5706501,22.5675108802377,16.1651294474702,22.1063237949315
"24",2009,14.418,18.3880670113074,14.418,19.908181665093,17.3943534666667,15.0143158670714,13.3223260348451,16.4075406741639
"25",2010,93.842,83.9140405977566,86.7708275078147,95.1805960695971,95.3303859666666,85.5184054396966,93.0870628316646,89.9668864021994
"26",2011,9.288,8.44628119953785,11.9777450980392,19.9081815783221,9.8223885,7.76205750080133,11.5904671094538,11.5845201643591
"27",2012,16.623,28.701889490269,37.7668630292697,19.9095425753604,26.1529054666666,33.7876672423251,24.9395273953877,28.5430658665464
"28",2013,19.035,19.7342033728584,22.8590193236715,19.9081817665827,17.7923798333333,19.4079817001493,14.9676593552091,19.1115708919674
"29",2014,13.127,7.57155562732584,9.21919607843138,19.9081815780098,10.4972118,2.73534255881917,9.75194219632544,9.94723830648528
"30",2015,22.494,13.8697774458468,12.5082352941177,19.9081815873808,16.2421195333333,10.3486116608428,11.9385779459581,14.1359172445799
