"","metrics","values"
"1","Rsqrd","0.690963975226037"
"2","RMSE","16.7626641571552"
"3","RPSS","0.573809523809524"
"4","HR-L","0.7"
"5","HR-M","0.4"
"6","HR-H","0.9"
"7","BE<0?","N"
"8","PB<0?","N"
"9","FD 100-90","3"
"10","FD 90-70","6"
"11","FD 70-BE","8"
"12","FD BE-30","4"
"13","FD 30-10","6"
"14","FD 10-0","3"
"15","Max Abs Err","51.3866121057118"
"16","Year of max","1992"
"17","Max Rel Err","127.196432829632"
"18","Year of max","2012"
