"","metrics","in_sample_values","LOOCV_values"
"1","Rsqrd",0.867828073134082,0.786739790575122
"2","RMSE",11.2665461315463,13.9539434428221
"3","HR-L",0.8,0.8
"4","HR-M",0.8,0.7
"5","HR-H",0.9,0.9
