"","metrics","in_sample_values","LOOCV_values"
"1","Rsqrd",0.934382130532283,0.75024587253595
"2","RMSE",7.69609377170473,14.8854071907516
"3","HR-L",0.8,0.8
"4","HR-M",0.8,0.6
"5","HR-H",0.9,0.9
