"","metrics","values"
"1","Rsqrd","0.698293894593132"
"2","RMSE","16.2694953186608"
"3","RPSS","0.518369753083792"
"4","HR-L","0.8"
"5","HR-M","0.6"
"6","HR-H","0.9"
"7","BE<0?","N"
"8","PB<0?","Y"
"9","FD 100-90","2"
"10","FD 90-70","4"
"11","FD 70-BE","11"
"12","FD BE-30","6"
"13","FD 30-10","5"
"14","FD 10-0","2"
"15","Max Abs Err","41.8838831693121"
"16","Year of max","1991"
"17","Max Rel Err","117.641395711839"
"18","Year of max","1990"
