"","year","prd_PCANN","res_PCANN","prd_PCANN_LOOCV","res_PCANN_LOOCV","obs","y90_PCANN","y70_PCANN","y30_PCANN","y10_PCANN","Ymod_PCANN_1","Ymod_PCANN_2","Ymod_PCANN_3"
"result.1",1986,19.9083834747686,-13.1276165252314,19.1236120658219,-13.9123879341781,33.036,0.909259384904267,12.1427508514543,27.6740160980828,38.9075075646329,0.424385906477585,0.872138933277646,0.999999999972001
"result.2",1987,55.3351486865911,4.6711486865911,58.0404805652871,7.37648056528711,50.664,36.3360245967268,47.5695160632768,63.1007813099054,74.3342727764554,0.00242620799038321,0.0681877145487373,0.999957183380199
"result.3",1988,36.6254677759132,2.51946777591317,72.6855455209442,38.5795455209442,34.106,17.6263436860489,28.8598351525989,44.3911003992274,55.6245918657775,7.09383863271668e-05,0.00661296143064491,0.998358195366819
"result.4",1989,19.9081815961385,7.66818159613846,20.3053691656474,8.06536916564735,12.24,0.909057506274163,12.1425489728242,27.6738142194527,38.9073056860028,0.39341591622207,0.854702932312643,0.999999999952376
"result.5",1990,19.9084444668011,4.26144446680106,20.1462412464317,4.49924124643171,15.647,0.909320376936765,12.1428118434868,27.6740770901153,38.9075685566654,0.397551654925941,0.857139712165676,0.999999999955647
"result.6",1991,86.2570283139564,-11.3199716860436,72.6688290436227,-24.9081709563773,97.577,67.2579042240921,78.4913956906421,94.0226609372707,105.256152403821,7.12623434924546e-05,0.00663389426890952,0.998364162072093
"result.7",1992,94.9974096486663,-21.2565903513337,89.1531106202789,-27.1008893797211,116.254,75.998285558802,87.2317770253521,102.763042271981,113.996533738531,4.41535089086071e-07,0.000166098095921175,0.96627630641148
"result.8",1993,95.1806287388977,16.8626287388977,100.819415673573,22.501415673573,78.318,76.1815046490334,87.4149961155834,102.946261362212,114.179752828762,5.87698741092572e-09,6.04355525357738e-06,0.85117272216045
"result.9",1994,19.9082224854041,1.28722248540406,19.9396577147123,1.31865771471231,18.621,0.909098395539761,12.1425898620898,27.6738551087183,38.9073465752683,0.402937927454978,0.860261770689378,0.999999999959568
"result.10",1995,36.2281341924361,-3.46186580756395,33.7723791665028,-5.91762083349717,39.69,17.2290101025718,28.4625015691218,43.9937668157503,55.2272582823003,0.11917169592057,0.558871418325047,0.999999986937061
"result.11",1996,19.9081816134536,11.0241816134536,20.5200982669309,11.6360982669309,8.884,0.909057523589311,12.1425489901393,27.6738142367679,38.9073057033179,0.38785419087901,0.851370625733448,0.999999999947585
"result.12",1997,20.4200897110709,-23.0339102889291,19.274016442926,-24.179983557074,43.454,1.42096562120665,12.6544570877567,28.1857223343852,39.4192138009352,0.420413975700102,0.870004313656218,0.999999999970032
"result.13",1998,94.9417771189422,9.96877711894223,97.7992756100067,12.8262756100067,84.973,75.9426530290779,87.176144495628,102.707409742256,113.940901208807,1.90470113897179e-08,1.50822231771801e-05,0.893482941700591
"result.14",1999,19.9081815781815,9.73718157818152,20.4186371210654,10.2476371210654,10.171,0.909057488317227,12.1425489548673,27.6738142014958,38.9073056680458,0.390479358938538,0.852951481518277,0.999999999949905
"result.15",2000,19.908181578001,10.901181578001,20.5093144636414,11.5023144636414,9.007,0.909057488136725,12.1425489546868,27.6738142013153,38.9073056678653,0.388132966019062,0.851539184663672,0.999999999947837
"result.16",2001,25.9815839647088,-8.09741603529122,24.7033445157632,-9.37565548423678,34.079,6.98245987484449,18.2159513413945,33.7472165880231,44.9807080545731,0.285293161929267,0.776390000985767,0.99999999967447
"result.17",2002,19.9081815804813,11.0861815804813,20.5188256640773,11.6968256640773,8.822,0.909057490616988,12.142548957167,27.6738142037956,38.9073056703456,0.387887086289396,0.851390524125825,0.999999999947615
"result.18",2003,19.9082052172729,0.10920521727293,19.909202227413,0.110202227413033,19.799,0.909081127408633,12.1425725939587,27.6738378405872,38.9073293071372,0.403733583293287,0.860718085370178,0.999999999960116
