"","year","prd_PCQR","res_PCQR","prd_PCQR_LOOCV","res_PCQR_LOOCV","obs","y90_PCQR","y70_PCQR","y30_PCQR","y10_PCQR","Ymod_PCQR_1","Ymod_PCQR_2","Ymod_PCQR_3"
"1",1986,21.2379116226201,-11.7980883773799,19.4333680485339,-13.6026319514661,33.036,8.58334296826746,15.560355494288,33.0360000001319,45.9998223399177,0,0.857142857142857,1
"2",1987,50.664,0,49.2570736219016,-1.40692637809843,50.664,31.0580775554668,43.4892349778161,63.7083367532122,89.9500857925421,0,0.238095238095238,1
"3",1988,54.6557763569196,20.5497763569196,54.6557763569196,20.5497763569196,34.106,34.1059999947925,47.2777204824148,67.8716035441688,95.9162276397734,0,0.19047619047619,1
"4",1989,13.5692156862745,1.32921568627451,13.5692156862745,1.32921568627451,12.24,4.02737254797871,8.56212381032848,21.4172388059451,28.4355455481817,0.619047619047619,1,1
"5",1990,35.2239474282467,19.5769474282467,35.2239474282467,19.5769474282467,15.647,20.4653567017649,29.0932500908542,44.2711352607152,61.2540480376462,0.0952380952380952,0.523809523809524,1
"6",1991,55.5741469167377,-42.0028530832623,53.9633181650018,-43.6136818349982,97.577,34.8458201876596,48.1576351812414,68.7218852605568,97.1075670773427,0,0.19047619047619,1
"7",1992,64.8673878942882,-51.3866121057118,62.9710958194599,-53.2829041805402,116.254,40.8223365484444,56.7364784566591,81.5331166039163,116.254000012915,0,0,1
"8",1993,88.2596373969878,9.94163739698779,92.6664643510055,14.3484643510055,78.318,55.8079482843351,78.3179999998496,113.942264925017,164.720474400321,0,0,0.761904761904762
"9",1994,28.0195927820404,9.39859278204035,28.0195927820403,9.39859278204035,18.621,14.1024471921517,22.0701068323898,39.1590662312399,54.5346067560361,0,0.619047619047619,1
"10",1995,40.7706825802785,1.0806825802785,40.7706825802785,1.0806825802785,39.69,24.4303826696722,34.2993037128642,50.8089636188696,70.813097516355,0,0.428571428571429,1
"11",1996,16.6078283603296,7.72382836032964,16.6078283603296,7.72382836032964,8.884,6.08375358848002,11.3891728790772,25.3212695895263,34.2157237016645,0.476190476190476,1,1
"12",1997,42.4351767547599,-1.01882324524012,41.3147290192113,-2.13927098078867,43.454,23.9258006303674,35.4965681174277,57.4919393655473,81.6390437077113,0,0.19047619047619,1
"13",1998,65.5387692526286,-19.4342307473714,63.6220869404365,-21.3509130595635,84.973,41.2513410901161,57.3556536122673,82.4663507457135,117.650192463002,0,0,0.904761904761905
"14",1999,8.90090196078432,-1.27009803921568,4.91159504577276,-5.25940495422724,10.171,2.72729475273939,4.61933207403968,10.2391865666737,10.8240454595217,1,1,1
"15",2000,9.00700000000001,1.06581410364015e-14,5.1391042047532,-3.8678957952468,9.007,2.75684197535846,4.70894097713715,10.4932332084753,11.2243068251731,1,1,1
"16",2001,40.8802179596476,6.80121795964763,40.8802179596476,6.80121795964763,34.079,23.0086971017859,34.0790000000163,55.1173777983496,78.0461360762338,0,0.285714285714286,1
"17",2002,18.6185350951975,9.79653509519751,18.6185350951975,9.79653509519749,8.822,8.82200000400049,13.5566109618473,24.0666044772396,31.5715238576991,0.428571428571429,1,1
"18",2003,30.6668877522023,10.8678877522023,30.6668877522023,10.8678877522023,19.799,17.0179769433866,24.7751983337447,39.428680969763,54.2919751059789,0.19047619047619,0.619047619047619,1
"19",2004,34.9752395566923,-11.1567604433077,33.596629304524,-12.535370695476,46.132,20.8801574458222,28.9874668556085,42.3269039172853,58.0425124530505,0.19047619047619,0.571428571428571,1
"20",2005,39.3269778346121,-15.4430221653879,37.8808341759353,-16.8891658240647,54.77,21.3659771779516,32.5064755746322,54.7699999999911,77.8696170418701,0,0.333333333333333,1
"21",2006,8.47650980392158,-0.746490196078421,4.24537641357027,-4.97762358642973,9.223,2.60910586226309,4.26089646164979,9.22299999946717,9.22299999691629,1,1,1
"22",2007,46.1035029838022,13.0865029838022,46.1035029838022,13.0865029838022,33.017,29.0619305875939,39.4810958366521,54.8115149245815,76.1552356666473,0,0.380952380952381,1
"23",2008,18.1297127024723,-12.4072872975277,15.9994732052578,-14.5375267947422,30.537,6.02351951585165,12.5702629514925,30.3140606345757,42.2303956740765,0.0476190476190476,0.904761904761905,1
"24",2009,14.418,3.5527136788005e-15,12.841488372093,-1.57651162790697,14.418,4.26375032893132,9.27899503510826,23.4496119403581,31.6376364733926,0.619047619047619,1,1
"25",2010,86.7708275078147,-7.07117249218528,84.0385357010729,-9.80346429892714,93.842,56.8455199581734,77.3733879724304,106.331244402116,152.284038086975,0,0,0.857142857142857
"26",2011,11.9777450980392,2.68974509803922,11.9777450980392,2.68974509803921,9.288,3.58416420869258,7.21799026386639,17.6065391789207,22.4316250634112,0.619047619047619,1,1
"27",2012,37.7668630292697,21.1438630292697,37.7668630292697,21.1438630292697,16.623,22.6257228351281,31.5537763811389,46.3138871262759,64.0275436190514,0.0952380952380952,0.428571428571429,1
"28",2013,22.8590193236715,3.8240193236715,22.8590193236715,3.82401932367149,19.035,11.4551216992689,17.4508797016916,30.1741026116262,40.7492012895261,0.285714285714286,0.857142857142857,1
"29",2014,9.21919607843138,-3.90780392156862,5.46937842778794,-7.65762157221207,13.127,2.81593642059661,4.8881587833321,11.0013264920785,12.0248295564758,1,1,1
"30",2015,12.5082352941177,-9.98576470588235,12.5082352941176,-9.98576470588236,22.494,3.73190032178796,7.66603477935375,18.8767723879289,24.432931891668,0.619047619047619,1,1
