"","metrics","values"
"1","Rsqrd","0.733297663367108"
"2","RMSE","15.2931741450647"
"3","RPSS","0.378104451732311"
"4","HR-L","0"
"5","HR-M","0.9"
"6","HR-H","0.8"
"7","BE<0?","N"
"8","PB<0?","N"
"9","FD 100-90","0"
"10","FD 90-70","9"
"11","FD 70-BE","11"
"12","FD BE-30","2"
"13","FD 30-10","5"
"14","FD 10-0","3"
"15","Max Abs Err","25.8014614592091"
"16","Year of max","2004"
"17","Max Rel Err","130.452659273601"
"18","Year of max","2002"
