"","year","prd_PCRF","res_PCRF","prd_PCRF_LOOCV","res_PCRF_LOOCV","obs","y90_PCRF_BCbased","y70_PCRF_BCbased","y30_PCRF_BCbased","y10_PCRF_BCbased","Ymod_PCRF_BC_1","Ymod_PCRF_BC_2","Ymod_PCRF_BC_3"
"1",1986,26.7771572,-6.25884279999997,21.3626928666667,-11.6733071333333,33.036,16.222036893672,21.8172410373332,32.8646006249944,44.1996750734899,0.244391613054525,0.908673179812752,0.999992668574141
"2",1987,48.3474693000001,-2.31653069999988,45.1731996333334,-5.49080036666662,50.664,29.290038239136,39.3922932438416,59.3383520392322,79.8037095382311,0.0045558665499366,0.279960448071967,0.992199219684128
"3",1988,40.9209264,6.81492639999996,47.6393028000001,13.5333028000001,34.106,24.7907782307923,33.3412874929932,50.2235954545788,67.545477940146,0.00303658565573604,0.236091975525552,0.988759289599161
"4",1989,13.1887460666666,0.948746066666642,14.2028304333333,1.96283043333333,12.24,7.98984031526432,10.7457388899029,16.1871347468941,21.7703012290092,0.637551911608147,0.991268152279799,0.999999962312084
"5",1990,25.7544576,10.1074576,30.8374895666666,15.1904895666666,15.647,15.6024563678685,20.9839685808902,31.6094137250402,42.5115915205272,0.051419187923396,0.653072152508435,0.999656471191291
"6",1991,77.1637488,-20.4132512,47.5446446000002,-50.0323553999998,97.577,46.7480699531243,62.8713148011273,94.705095620547,127.367456857321,0.0030839763586167,0.237662348416166,0.988908566218635
"7",1992,95.7374085666666,-20.5165914333334,83.3020244999999,-32.9519755000001,116.254,58.0007968451479,78.0048630963447,117.500823141658,158.024673221602,1.50108999324466e-05,0.0158399375503056,0.803069858857138
"8",1993,89.8941564666665,11.5761564666665,97.3486079,19.0306079,78.318,54.460696547902,73.2438632143973,110.329317746794,148.379962484537,2.41635318022749e-06,0.00543192671978953,0.675091512896872
"9",1994,24.7780881999999,6.1570881999999,34.0249746666666,15.4039746666666,18.621,15.01094446764,20.1884451807139,30.4110887427968,40.8999800165733,0.0298595279417457,0.556464782361741,0.999164089117407
"10",1995,39.6314619333333,-0.0585380666667064,39.2995916333333,-0.390408366666655,39.69,24.009577089984,32.2906572946166,48.641006498565,65.4170869369335,0.0121761966627288,0.410348198817936,0.997234945406496
"11",1996,12.6806465333333,3.79664653333331,15.3621166,6.47811659999996,8.884,7.68202363928232,10.3317533695487,15.5635267252242,20.931612178738,0.560098493947312,0.985225852877406,0.999999887353989
"12",1997,39.0775332666666,-4.37646673333339,36.5555121,-6.89848790000003,43.454,23.6739885477564,31.8393272371619,47.9611571633482,64.5027714353113,0.0193968878579164,0.48345126161518,0.998459660886653
"13",1998,93.3349113666668,8.36191136666676,93.8622048666668,8.8892048666668,84.973,56.545257337047,76.0473417591763,114.552205033544,154.059179121697,3.75626059516525e-06,0.00706873742653845,0.70791817592631
"14",1999,10.3011257333333,0.130125733333344,10.6115324333333,0.440532433333338,10.171,6.24046676577713,8.39298724620601,12.6430561112553,17.0038719703278,0.863800516777533,0.999103173106482,0.999999999542271
"15",2000,10.0737121666667,1.06671216666666,10.6535407333333,1.64654073333332,9.007,6.10269583703999,8.20769730064914,12.3639430643333,16.6284923610632,0.861580713416567,0.999071893267,0.999999999512308
"16",2001,45.3495848,11.2705848,52.5596868000002,18.4806868000002,34.079,27.4738128807037,36.949673019989,55.6589851371559,74.8554145270996,0.00137114625125015,0.165932179158425,0.978857223978822
"17",2002,10.6117508,1.78975080000001,12.6192307,3.7972307,8.822,6.42864870879753,8.64607555195747,13.0242976137064,17.5166041499588,0.74354683510544,0.996310010081321,0.999999993275395
"18",2003,21.5040362,1.70503619999997,23.5547,3.75569999999997,19.799,13.0274357763431,17.5208246681001,26.3927518032266,35.4957657077295,0.173068947331591,0.860544138788925,0.999977850432695
"19",2004,33.0730646666665,-13.0589353333335,18.5022580666667,-27.6297419333333,46.132,20.036286919226,26.9470093011711,40.5917299141468,54.5917684490041,0.372768623364843,0.955466956674536,0.999998708138798
"20",2005,46.788303,-7.98169699999999,40.4392846000001,-14.3307153999999,54.77,28.3454393840601,38.1219135383661,57.4247545880827,77.2301572928317,0.0100452951243601,0.382173441404209,0.996546412861753
"21",2006,10.0778623333333,0.854862333333324,10.6051419333333,1.38214193333333,9.223,6.10521007658649,8.21107873514507,12.369036717185,16.6353428243213,0.86413682110303,0.999107856341558,0.999999999546679
"22",2007,31.6451014666667,-1.37189853333329,28.9763031666667,-4.04069683333327,33.017,19.1711824596583,25.7835352084667,38.8391551009501,52.2347607270101,0.0705100217934134,0.709824177367303,0.99981024383929
"23",2008,29.5482906000001,-0.988709399999944,25.6157823,-4.9212177,30.537,17.9008707746027,24.0750990455503,36.2656856686082,48.7737435903065,0.123701695781854,0.807356174781759,0.999945416733566
"24",2009,16.7327185666667,2.31471856666666,17.1671757333333,2.74917573333335,14.418,10.1368547792119,13.6332736527032,20.536768774485,27.6201042358852,0.447114480516202,0.970749128125398,0.99999950340644
"25",2010,95.8800592,2.03805919999998,94.6488374000001,0.806837400000106,93.842,58.0872209580166,78.1210928630345,117.675900220559,158.260128266946,3.39807151021006e-06,0.00665992805101996,0.700543209631574
"26",2011,10.0063049333333,0.718304933333332,10.5877023666667,1.29970236666667,9.288,6.06185942388718,8.15277585838164,12.2812116738259,16.517226754241,0.865052721331413,0.999120536815976,0.999999999558512
"27",2012,23.1410658666666,6.51806586666664,28.6460373333333,12.0230373333333,16.623,14.0191916215684,18.8546375151571,28.4019253708936,38.1978808809451,0.0745553093479024,0.719782052017385,0.999830332751669
