"","metrics","values"
"1","Rsqrd","0.786739790575122"
"2","RMSE","13.9539434428221"
"3","RPSS","0.569998102244641"
"4","HR-L","0.8"
"5","HR-M","0.7"
"6","HR-H","0.9"
"7","BE<0?","N"
"8","PB<0?","N"
"9","FD 100-90","0"
"10","FD 90-70","6"
"11","FD 70-BE","10"
"12","FD BE-30","8"
"13","FD 30-10","5"
"14","FD 10-0","1"
"15","Max Abs Err","35.0545300042262"
"16","Year of max","1991"
"17","Max Rel Err","75.3173588780851"
"18","Year of max","1990"
