"","metrics","in_sample_values","LOOCV_values"
"1","Rsqrd",0.726271021283823,0.690963975226037
"2","RMSE",15.8772732816592,16.7626641571552
"3","HR-L",0.7,0.7
"4","HR-M",0.5,0.4
"5","HR-H",0.9,0.9
