"","metrics","in_sample_values","LOOCV_values"
"1","Rsqrd",0.737906960245535,0.682203674075345
"2","RMSE",15.1405996682636,16.7043370468994
"3","HR-L",0.7,0.7
"4","HR-M",0.6,0.6
"5","HR-H",0.9,0.8
