"","metrics","values"
"1","Rsqrd","0.756211427210899"
"2","RMSE","14.8199095864776"
"3","RPSS","0.280340678566488"
"4","HR-L","0"
"5","HR-M","0.9"
"6","HR-H","0.7"
"7","BE<0?","N"
"8","PB<0?","N"
"9","FD 100-90","6"
"10","FD 90-70","3"
"11","FD 70-BE","11"
"12","FD BE-30","4"
"13","FD 30-10","4"
"14","FD 10-0","2"
"15","Max Abs Err","26.2237528073306"
"16","Year of max","2004"
"17","Max Rel Err","125.665173208811"
"18","Year of max","2002"
